crop,category,importance,importance_pct
CORN,climate,0.4827,48.3
CORN,vegetation,0.2686,26.9
CORN,soil,0.2487,24.9
COTTON_UPLAND,climate,0.4695,47.0
COTTON_UPLAND,vegetation,0.1752,17.5
COTTON_UPLAND,soil,0.3553,35.5
OATS,climate,0.4282,42.8
OATS,vegetation,0.2789,27.9
OATS,soil,0.293,29.3
SORGHUM,climate,0.2579,25.8
SORGHUM,vegetation,0.5442,54.4
SORGHUM,soil,0.1979,19.8
SOYBEANS,climate,0.3347,33.5
SOYBEANS,vegetation,0.4544,45.4
SOYBEANS,soil,0.211,21.1
WHEAT_SPRING_EXCL_DURUM,climate,0.2566,25.7
WHEAT_SPRING_EXCL_DURUM,vegetation,0.1936,19.4
WHEAT_SPRING_EXCL_DURUM,soil,0.5497,55.0
